Model,rho,Attacked F1,RR,Defended F1,RSS
RoBERTa,0.1,0.767,0.783,0.978,0.996
RoBERTa,0.2,0.406,0.414,0.978,0.992
RoBERTa,0.3,0.117,0.119,0.974,0.987
RoBERTa,0.5,0.014,0.014,0.974,0.979
XLM-RoBERTa,0.1,0.783,0.798,0.978,0.996
XLM-RoBERTa,0.2,0.497,0.506,0.977,0.992
XLM-RoBERTa,0.3,0.216,0.22,0.975,0.987
XLM-RoBERTa,0.5,0.023,0.024,0.972,0.979
DeBERTa,0.1,0.767,0.779,0.982,0.996
DeBERTa,0.2,0.447,0.454,0.979,0.992
DeBERTa,0.3,0.142,0.144,0.977,0.987
DeBERTa,0.5,0.011,0.011,0.974,0.979
DistilBERT,0.1,0.907,0.921,0.984,0.996
DistilBERT,0.2,0.775,0.787,0.984,0.992
DistilBERT,0.3,0.603,0.612,0.984,0.988
DistilBERT,0.5,0.273,0.277,0.984,0.979
